Metric,Value
Mean Error,1.7030876950000005
Median Error,1.439687000000001
Std Error,15.852059706022887
Maximum Error,46.38993000000001
Minimum Error,-35.84504
Mean Absolute Error,11.468049864999996
Median Absolute Error,6.6861884999999965
